id,name,album,album_id,duration,release_date,release_date_precision,popularity,external_ids,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10
4PgZTLaGAMlKD6FCATr2sz,Lions,Dire Straits,2rCS6Xwx32V27pvgFzLzlT,303893,1978-10-07,day,54,{'isrc': 'GBF089601044'},0WwSkZ7LtFUFjGjMZBMt6T,,,,,,,,,
05n0mwlh1y3cwjGmHnfVjh,Free,Lotus,0ofdTvYtx4LpsVjemJt71X,215594,2025-06-06,day,56,{'isrc': 'QM4TW2517493'},6eXZu6O7nAUA5z6vLV8NKI,,,,,,,,,
61fnOBpTBUPjyeQVobKJqL,Dark Days,Dark Days,3rcFstqRW02XOXI95Bz6ZK,185248,2021-01-19,day,46,{'isrc': 'GBCSG2000203'},2h3ooJn8m8X8cL2g1BZ1Rd,,,,,,,,,
5jyj2XKWILHQxDoz59ddCT,Billie Toppy,Billie Toppy,0FpoXXhnwamDJbLSWLRgvN,195289,2022-09-28,day,59,{'isrc': 'QZNWX2227540'},3zmfs9cQwzJl575W1ZYXeT,,,,,,,,,
1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,Billy Idol,5ebh0MxkqELmk50xHj2b4k,252200,1982-01-01,day,74,{'isrc': 'USCH30100008'},7lzordPuZEXxwt9aoVZYmG,,,,,,,,,
0VynP1BIPpD4yvZmxrwi9e,Heatwave,Setting Sons,1JUVPhMNQgDyW4TUhTeasf,144706,1979-11-17,day,31,{'isrc': 'GBAKW7901008'},2P560DaOMNDUACoH8ZhOCR,,,,,,,,,
2rzsi8v63YA1LGJE4yLRBQ,Pretty Big Mouth,Psychotic Reaction,7Mccdl5xR9mfqo00lgDVDA,129120,1966-01-01,day,38,{'isrc': 'QMFMK1316002'},57WXdjUf5Vlq3klNZegeTP,,,,,,,,,
19HjHUjCfDrEYhVSIKG6nK,I'd Love to Change the World - 2004 Remaster,A Space in Time (Deluxe Version),6C2AlxVFIfvLsuWOJB1UKo,224133,1971-08-01,month,0,{'isrc': 'GBAYK0400087'},7nkLRaWHImCvWGHdNGnhVE,,,,,,,,,
0O9pHkUWSuQ3nIB26pPBTT,I Got By In Time,In The City,5Mq5p94xQFYEnRetWkCP7l,126000,1977-05-20,day,28,{'isrc': 'GBAKW7700001'},2P560DaOMNDUACoH8ZhOCR,,,,,,,,,
6VoiY3rukFPoqzP4AoGPU8,The Invisible Man - Remastered 2011,The Miracle (2011 Remaster),3h6SV9wHJtNL1YswZUJs8V,237680,1989-05-22,day,53,{'isrc': 'GBUM71029633'},1dfeR4HaWDbWqFHLkxsg1d,,,,,,,,,
4AewKenHXKBt643p473xCk,American Money,Dopamine,17l7MIu0Jh0tdgK7or9ovw,260986,2015-10-16,day,66,{'isrc': 'USUM71510887'},1KP6TWI40m7p3QBTU6u2xo,,,,,,,,,
1dmJWX0nWAx5gjDzAohSbO,Cerca De Ti,Hoy Como Ayer,12x0ISxr7b5JssrNJWNDPZ,108617,2019-09-27,day,67,{'isrc': 'CH7811929682'},73mSg0dykFyhvU96tb5xQV,,,,,,,,,
5pttxADQauH42FAnTiHSh8,Sahara Cowboy,Chameleon Sunday,2VzZT5EAMaHolmQfNdB599,184158,2019-05-03,day,59,{'isrc': 'SE5Q51900476'},2iLMJdaqsQ44X7MPRD7rR5,,,,,,,,,
17nOJOcPbcl4sKzM2yyYDp,Sugar Man,Cold Fact,3q90UAYeHLvAtnowiQlmgp,229413,1970-03-05,day,62,{'isrc': 'USUM71810955'},5PrHzxc3kFm4hIrGNmelpX,,,,,,,,,
2C3QwVE5adFCVsCqayhPW7,You Know My Steez,Moment Of Truth,5f6Nz2v1DESbpu1NerEql2,247626,1998-03-31,day,58,{'isrc': 'USVI29800141'},5cMgGlA1xGyeAB2ctYlRdZ,,,,,,,,,
1M79bXLyuYNcyqJoreL2wb,Wonce Again Long Island,Stakes Is High,3jlC2uhYNrhikZXLviEnpu,218968,1996-07-02,day,30,{'isrc': 'QMMEH2200192'},1Z8ODXyhEBi3WynYw0Rya6,,,,,,,,,
3lo62oIkdf6b5ufn6HUaHh,伊豆甘夏納豆売り,BRASILIAN SKIES,0zXeZw0oFC2Db99RqlfHur,409000,1978-01-01,year,45,{'isrc': 'JPKT07800508'},2Ex4vjQ6mSh5woTlDWto6d,,,,,,,,,
78niYHxzADx0flpSxQhn6u,Key To Love (Is Understanding),Key To Love (Is Understanding),3VLrP1E9CIvgjn03CBkGXS,354243,2019-12-06,day,21,{'isrc': 'USDEA1945391'},65dGLGjkw3UbddUg2GKQoZ,4Js9qeA7KMFyjBYHEjFaeJ,,,,,,,,
4OKPaXNdYs8qwNAKBbTO9x,Dear Boy - Remastered 2012,Ram (Archive Collection),3DTMsrNO6lEHNmDJ0fsN4v,133746,1971-05-17,day,48,{'isrc': 'GBCCS1100091'},4STHEaNw4mPZ2tzheohgXB,6QEKXJs8gQCiyBq5L8knco,,,,,,,,
7afDukwRRDs0rmg3leQ8ti,Monkberry Moon Delight - Remastered 2012,Ram (Archive Collection),3DTMsrNO6lEHNmDJ0fsN4v,324133,1971-05-17,day,52,{'isrc': 'GBCCS1100095'},4STHEaNw4mPZ2tzheohgXB,6QEKXJs8gQCiyBq5L8knco,,,,,,,,
1kDkaFlmkdEZiVUogaP9OZ,For No One - Remastered 2009,Revolver (Remastered),3PRoXYsngSwjEQWR5PsHWR,119813,1966-08-05,day,64,{'isrc': 'GBAYE0601502'},3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
4N0olzsMpr5cAPFrzNErGv,The Genesis,Illmatic,3kEtdS2pH6hKcMU9Wioob1,105320,1994-04-19,day,51,{'isrc': 'USSM10022820'},20qISvAhX20dpIbOOzGK3q,,,,,,,,,
38KUOtXulnQmigscma1lpg,BUST DOWN (feat. TiaCorine),HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW,165600,2025-08-15,day,57,{'isrc': 'USRC12500997'},1q4618qKswelCGLoanFKQh,39i5B6umzWzkfMe12JrMwW,,,,,,,,
0mxBL9v4xZM0q4GAhJWbHB,SEE U DANCE (feat. Rebecca Black),HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW,166177,2025-08-15,day,54,{'isrc': 'USRC12501001'},1q4618qKswelCGLoanFKQh,3Vl9fyKMIdLMswk8ai3mm9,,,,,,,,
7GkCDQoewpIImS7YBpMPyy,WASSUP (feat. JPEGMAFIA),HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW,180915,2025-08-15,day,52,{'isrc': 'USRC12500699'},1q4618qKswelCGLoanFKQh,6yJ6QQ3Y5l0s0tn7b0arrO,,,,,,,,
4tJXLJqKQD0H4FlxUu6ks2,THE PARTY SONG,HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW,189000,2025-08-15,day,48,{'isrc': 'USRC12500993'},1q4618qKswelCGLoanFKQh,,,,,,,,,
6mib3N4E8PZHAGQ3xy7bho,Moonage Daydream - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),48D1hRORqJq52qsnUYZX56,279693,1972-06-06,day,69,{'isrc': 'USJT11200003'},0oSGxfWSnnOXhD2fKuz2Gy,,,,,,,,,
4lZbcP9P8cdCEateza6GKl,Pablo,Pablo,2m8w6pUM0LSEa1M0Dzv6a6,169911,2023-04-21,day,37,{'isrc': 'QZHN42311031'},4gA27N5UFxsfcwEoZISYry,77uLXqHKG5n6UYMUr0b0e5,,,,,,,,
3i0meyRRCpIzyMmLdYssGw,Bring Down the Birds - Outtake,Blow-Up (Original Motion Picture Soundtrack),1NACGaotxNRFPquvQb4Crs,106306,1967-02-24,day,39,{'isrc': 'USNLR1700242'},2ZvrvbQNrHKwjT7qfGFFUW,,,,,,,,,
2JqnTQh5Shj7V5geLwXJZj,"Windjammer - Live At The Lighthouse, Hermosa Beach, CA/1972",Live At The Lighthouse,5Xe3jzd5GQMGVOrvTW1pUQ,735600,1998-01-01,day,16,{'isrc': 'USBN29700355'},6dAtGAnHCQ1ujMUZ9Ep82k,,,,,,,,,
62VWmsNoDmqT0Mj9oHHFVh,Strasbourg / St. Denis,Earfood,4vuijqNCK71JTiACBmdCTo,278626,2008-01-01,day,53,{'isrc': 'GBUM70805366'},49zXTngyUTielHTbbH5YKs,,,,,,,,,
6QlkHjQmo2YncQN5MQXgPZ,It Never Entered My Mind,Workin' With The Miles Davis Quintet,7buLIJn2VuqsVORghMEvli,323186,1959-01-01,year,60,{'isrc': 'USFI85900063'},71Ur25Abq58vksqJINpGdx,,,,,,,,,
4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Kind Of Blue (Legacy Edition),4sb0eMpDn3upAFfyi4q2rw,562640,1959-08-17,day,63,{'isrc': 'USSM15900113'},0kbYTNQb4Pb1rPbbaF0pT4,2hGh5VOeeqimQFxqXvfCUf,5v74mT11KGJqadf9sLw4dA,4jXfFzeP66Zy67HM2mvIIF,,,,,,
5H91eWhSKcawShPDWN1Sxw,Japanese Folk Song,"Straight, No Chaser",1BHwJqnHhuIryphXMZ0PMQ,1002800,1967-01-01,year,32,{'isrc': 'USSM16700039'},4PDpGtF16XpqvXxsrFwQnN,,,,,,,,,
13DIg33b655IuPHHdnlimm,Back 2 Back,Back 2 Back,4lnsaWcuoXUzDINVbyG9ak,187411,2025-08-22,day,56,{'isrc': 'GBARL2501221'},2p1fiYHYiXz9qi0JJyxBzN,4oLeXFyACqeem2VImYeBFe,,,,,,,,
7vArMOFgFUouYjaAcVGUFe,Night Train,Arc Of A Diver (Deluxe Edition),3kpetl4t4Ew1m2NrnsjYhx,468493,1980-12-31,day,36,{'isrc': 'GBAAN8000015'},5gxynDEKwNDgxGJmJjZyte,,,,,,,,,
0QdagWnOd3GzMCBu57efgp,"Oh Well, Pt. 1 - 2013 Remaster",Then Play On (2013 Remaster; Expanded Edition),5Z83CVFqNYSIoItAZVaHeR,202400,1969-09-19,day,56,{'isrc': 'USRE11300176'},08GQAI4eElDnROBrJRGE0X,,,,,,,,,
0nsn0xuYHUTbq47O7SBV5v,san francisco,#501,6RBllZsBADYShDDWdqRkJu,206733,2005-04-27,day,47,{'isrc': 'TCJPE1650990'},2v4xE9iGRGIKGxxCku3HWy,,,,,,,,,
2YsCBfRHmo1wqDKmZEmGo7,No Confusion (feat. Kojey Radical),Where I'm Meant To Be,4bFZYpPPKHvsVsmYEYnIRk,194440,2022-11-04,day,44,{'isrc': 'USBQU2100149'},5BRAUN0yN8557PLRZIr02W,1HMhQzj2QXxR40zGDdaK6y,,,,,,,,
7snltzeGB2v44Qb6Qvh9Um,Problemz,Volcano,5xnXOCf5aZgZ43DgGN4EDv,184086,2023-08-11,day,63,{'isrc': 'GBKPL2297385'},59oA5WbbQvomJz2BuRG071,,,,,,,,,
3qiX7QXv6w6y4wsr5KP6U1,Sea Sick,Sea Sick,1XQYd61d9bQA3ba5xUrhKB,130714,2019-09-05,day,51,{'isrc': 'QZ93L1954287'},2jbd7OqeJJd1hz81vOXwwW,,,,,,,,,
111SaDBbcHW0zedi4RBHDp,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,130813,2006-01-29,day,57,{'isrc': 'GBCEL0501184'},7Ln80lUS6He07XvHI8qqHH,,,,,,,,,
